trial_id,inner_optimizer.lr,inner_optimizer.clipping.quantile_level,inner_optimizer.clipping.quantile_lr,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0000,0.001,0.7,0.001,10.968363761901855,475,10.968363761901855,475,10.968363761901855,475
trial_0001,0.001,0.7,0.01,16.110427583966935,475,16.110427583966935,475,16.110427583966935,475
trial_0002,0.001,0.7,0.1,18.222082955496653,475,18.222082955496653,475,18.222082955496653,475
trial_0003,0.001,0.8,0.001,8.794870989663261,475,8.794870989663261,475,8.794870989663261,475
trial_0004,0.001,0.8,0.01,13.519934109279088,475,13.519934109279088,475,13.519934109279088,475
trial_0006,0.001,0.9,0.001,10.068533420562744,475,10.068533420562744,475,10.068533420562744,475
trial_0005,0.001,0.8,0.1,17.73384884425572,475,17.73384884425572,475,17.73384884425572,475
trial_0007,0.001,0.9,0.01,11.336398805890765,475,11.336398805890765,475,11.336398805890765,475
trial_0008,0.001,0.9,0.1,15.500915254865374,475,15.500915254865374,475,15.500915254865374,475
trial_0009,0.001,0.95,0.001,9.98958580834525,475,9.98958580834525,475,9.98958580834525,475
trial_0010,0.001,0.95,0.01,10.432596411023821,475,10.432596411023821,475,10.432596411023821,475
trial_0011,0.001,0.95,0.1,12.676724433898926,475,12.676724433898926,475,12.676724433898926,475
trial_0012,0.001,0.99,0.001,9.927018301827568,475,9.927018301827568,475,9.927018301827568,475
trial_0013,0.001,0.99,0.01,9.821567467280797,475,9.821567467280797,475,9.821567467280797,475
trial_0014,0.001,0.99,0.1,9.22198738370623,475,9.22198738370623,475,9.22198738370623,475
trial_0015,0.005,0.7,0.001,5.8140740394592285,150,5.92728989464896,475,5.8140740394592285,150
trial_0016,0.005,0.7,0.01,5.798521893365042,200,5.923781565257481,475,5.798521893365042,200
trial_0017,0.005,0.7,0.1,5.8432572569165915,375,5.902315446308681,475,5.8432572569165915,375
trial_0018,0.005,0.8,0.001,5.814212799072266,150,5.931265320096697,475,5.814212799072266,150
trial_0019,0.005,0.8,0.01,5.805332183837891,200,5.912809985024588,475,5.805332183837891,200
trial_0020,0.005,0.8,0.1,5.864915541240147,275,5.9459526879446845,475,5.864915541240147,275
trial_0021,0.005,0.9,0.001,5.812606777463641,150,5.933568716049194,475,5.812606777463641,150
trial_0022,0.005,0.9,0.01,5.817725811685834,200,5.917776908193316,475,5.817725811685834,200
trial_0023,0.005,0.9,0.1,5.800695862088885,225,5.9400734560830255,475,5.800695862088885,225
trial_0024,0.005,0.95,0.001,5.812204326902117,150,5.93375483580998,475,5.812204326902117,150
trial_0025,0.005,0.95,0.01,5.813561064856393,150,5.930579968861172,475,5.813561064856393,150
trial_0026,0.005,0.95,0.1,5.8090027911322455,200,5.929144927433559,475,5.8090027911322455,200
trial_0027,0.005,0.99,0.001,5.812086548124041,150,5.936536090714591,475,5.812086548124041,150
trial_0028,0.005,0.99,0.01,5.811833586011614,150,5.944420559065683,475,5.811833586011614,150
trial_0029,0.005,0.99,0.1,5.811572313308716,150,5.972316639763968,475,5.811572313308716,150
trial_0030,0.01,0.7,0.001,5.838279724121094,200,5.992873191833496,475,5.838279724121094,200
trial_0031,0.01,0.7,0.01,5.817843743732998,200,5.922803095408848,475,5.817843743732998,200
trial_0032,0.01,0.7,0.1,5.819738558360508,200,5.936885101454599,475,5.819738558360508,200
trial_0033,0.01,0.8,0.001,5.825550045285906,450,5.987197910036359,475,5.825550045285906,450
trial_0035,0.01,0.8,0.1,5.8630673204149515,200,5.949103423527309,475,5.8630673204149515,200
trial_0034,0.01,0.8,0.01,5.813638261386326,200,5.925282001495361,475,5.813638261386326,200
trial_0036,0.01,0.9,0.001,5.833924429757254,450,5.999607460839408,475,5.833924429757254,450
trial_0037,0.01,0.9,0.01,5.835709095001221,200,5.967728444508144,475,5.835709095001221,200
trial_0039,0.01,0.95,0.001,5.825292212622506,450,5.989620889936175,475,5.825292212622506,450
trial_0038,0.01,0.9,0.1,5.823153001921518,200,5.9427095992224555,475,5.823153001921518,200
trial_0040,0.01,0.95,0.01,5.837355085781643,450,5.991168873650687,475,5.837355085781643,450
trial_0041,0.01,0.95,0.1,5.816396134240287,200,5.9534724950790405,475,5.816396134240287,200
trial_0043,0.01,0.99,0.01,5.8414051703044345,450,6.014602831431797,475,5.8414051703044345,450
trial_0042,0.01,0.99,0.001,5.829993316105434,450,6.00100176674979,475,5.829993316105434,450
trial_0044,0.01,0.99,0.1,5.842431034360613,200,6.071693982396807,475,5.842431034360613,200
trial_0045,0.05,0.7,0.001,6.10029171194349,50,7.471808092934745,475,6.10029171194349,50
trial_0046,0.05,0.7,0.01,6.026320593697684,275,6.165081535066877,475,6.026320593697684,275
trial_0047,0.05,0.7,0.1,5.875097274780273,450,6.149991750717163,475,5.875097274780273,450
trial_0048,0.05,0.8,0.001,6.099911042622158,275,7.313866853713989,475,6.099911042622158,275
trial_0049,0.05,0.8,0.01,6.084331836019244,50,6.571760654449463,475,6.084331836019244,50
trial_0050,0.05,0.8,0.1,5.90592132295881,450,6.302963597433908,475,5.90592132295881,450
