trial_id,inner_optimizer.lr,inner_optimizer.clipping.layer_overrides.fc1.upper,inner_optimizer.clipping.layer_overrides.fc2.upper,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0000,0.0398107171,0.019999999999999796,3.1,8.306213753564018,475,8.306213753564018,475,8.306213753564018,475
trial_0001,0.0398107171,0.019999999999999796,4.366666666666667,8.019619873591832,450,8.040575436183385,475,8.019619873591832,450
trial_0002,0.0398107171,0.019999999999999796,5.633333333333333,9.411651747567314,475,9.411651747567314,475,9.411651747567314,475
trial_0003,0.0398107171,0.019999999999999796,6.9,8.677728925432477,475,8.677728925432477,475,8.677728925432477,475
trial_0004,0.0398107171,0.6733333333333333,3.1,5.840221098491123,275,5.9964671816144675,475,5.840221098491123,275
trial_0006,0.0398107171,0.6733333333333333,5.633333333333333,5.764553785324097,450,5.9968836307525635,475,5.764553785324097,450
trial_0007,0.0398107171,0.6733333333333333,6.9,5.789038964680263,450,5.9884085314614435,475,5.789038964680263,450
trial_0005,0.0398107171,0.6733333333333333,4.366666666666667,5.7785095657621115,450,5.971409661429269,475,5.7785095657621115,450
trial_0008,0.0398107171,1.3266666666666667,3.1,5.755510977336338,275,6.015241776193891,475,5.755510977336338,275
trial_0009,0.0398107171,1.3266666666666667,4.366666666666667,5.7614845888955255,275,6.0469794273376465,475,5.7614845888955255,275
trial_0011,0.0398107171,1.3266666666666667,6.9,5.742734704698835,275,6.0405901329857965,475,5.742734704698835,275
trial_0010,0.0398107171,1.3266666666666667,5.633333333333333,5.755246673311506,275,6.0545425074441095,475,5.755246673311506,275
trial_0013,0.0398107171,1.9800000000000002,4.366666666666667,5.715737172535488,450,6.002711125782558,475,5.715737172535488,450
trial_0012,0.0398107171,1.9800000000000002,3.1,5.716692379542759,275,6.043247597558158,475,5.716692379542759,275
trial_0014,0.0398107171,1.9800000000000002,5.633333333333333,5.725160888263157,275,6.038836683545794,475,5.725160888263157,275
trial_0015,0.0398107171,1.9800000000000002,6.9,5.690886906215122,275,6.0483589342662265,475,5.690886906215122,275
trial_0016,0.0735642254,0.019999999999999796,3.1,7.869031769888742,475,7.869031769888742,475,7.869031769888742,475
trial_0019,0.0735642254,0.019999999999999796,6.9,8.05067491531372,450,8.063735689435687,475,8.05067491531372,450
trial_0017,0.0735642254,0.019999999999999796,4.366666666666667,7.98449741091047,475,7.98449741091047,475,7.98449741091047,475
trial_0018,0.0735642254,0.019999999999999796,5.633333333333333,8.036921637398857,450,8.047528948102679,475,8.036921637398857,450
trial_0020,0.0735642254,0.6733333333333333,3.1,5.772920046533857,450,6.048594747270856,475,5.772920046533857,450
trial_0021,0.0735642254,0.6733333333333333,4.366666666666667,5.754303693771362,275,6.098451852798462,475,5.754303693771362,275
trial_0022,0.0735642254,0.6733333333333333,5.633333333333333,5.743733882904053,450,6.194511038916452,475,5.743733882904053,450
trial_0023,0.0735642254,0.6733333333333333,6.9,5.724834084510803,275,6.263886451721191,475,5.724834084510803,275
trial_0024,0.0735642254,1.3266666666666667,3.1,5.69337398665292,275,6.050372498376029,475,5.69337398665292,275
trial_0026,0.0735642254,1.3266666666666667,5.633333333333333,5.708406414304461,275,6.181541545050485,475,5.708406414304461,275
trial_0025,0.0735642254,1.3266666666666667,4.366666666666667,5.7493226528167725,275,6.126246043613979,475,5.7493226528167725,275
trial_0027,0.0735642254,1.3266666666666667,6.9,5.73874306678772,275,6.379516669682094,475,5.73874306678772,275
trial_0028,0.0735642254,1.9800000000000002,3.1,5.706489392689297,275,6.213351624352591,475,5.706489392689297,275
trial_0030,0.0735642254,1.9800000000000002,5.633333333333333,5.786746501922607,275,6.36289770262582,475,5.786746501922607,275
trial_0029,0.0735642254,1.9800000000000002,4.366666666666667,5.774113382611956,275,6.147402252469744,475,5.774113382611956,275
trial_0031,0.0735642254,1.9800000000000002,6.9,5.737183638981411,275,6.430385453360421,475,5.737183638981411,275
trial_0032,0.1359356391,0.019999999999999796,3.1,7.263238838740757,475,7.263238838740757,475,7.263238838740757,475
trial_0033,0.1359356391,0.019999999999999796,4.366666666666667,7.381359236580985,450,7.576258863721575,475,7.381359236580985,450
trial_0034,0.1359356391,0.019999999999999796,5.633333333333333,7.413690430777414,450,7.9022126879010886,475,7.413690430777414,450
trial_0035,0.1359356391,0.019999999999999796,6.9,7.433568273271833,450,8.31242425101144,475,7.433568273271833,450
trial_0036,0.1359356391,0.6733333333333333,3.1,5.663810287203107,450,6.107916866030012,475,5.663810287203107,450
trial_0037,0.1359356391,0.6733333333333333,4.366666666666667,5.643825650215149,450,6.515860080718994,475,5.643825650215149,450
trial_0038,0.1359356391,0.6733333333333333,5.633333333333333,5.708119818142483,450,6.775415999548776,475,5.708119818142483,450
trial_0039,0.1359356391,0.6733333333333333,6.9,5.634041343416486,450,7.123022181647165,475,5.634041343416486,450
trial_0040,0.1359356391,1.3266666666666667,3.1,5.864433492933001,275,6.264305421284267,475,5.864433492933001,275
trial_0041,0.1359356391,1.3266666666666667,4.366666666666667,6.046538284846714,450,6.7130447796412875,475,6.046538284846714,450
trial_0042,0.1359356391,1.3266666666666667,5.633333333333333,5.837735005787441,450,7.012655700956072,475,5.837735005787441,450
trial_0043,0.1359356391,1.3266666666666667,6.9,5.708689314978463,450,7.44475701877049,475,5.708689314978463,450
trial_0044,0.1359356391,1.9800000000000002,3.1,6.036649874278477,275,6.893640109470913,475,6.036649874278477,275
trial_0045,0.1359356391,1.9800000000000002,4.366666666666667,6.067636387688773,275,7.376697199685233,475,6.067636387688773,275
trial_0046,0.1359356391,1.9800000000000002,5.633333333333333,6.102222238268171,275,8.201048578534808,475,6.102222238268171,275
trial_0047,0.1359356391,1.9800000000000002,6.9,5.99238429750715,275,8.865380082811628,475,5.99238429750715,275
trial_0048,0.2511886432,0.019999999999999796,3.1,6.4583136694771905,450,7.18438070161002,475,6.4583136694771905,450
trial_0049,0.2511886432,0.019999999999999796,4.366666666666667,6.507636444909232,450,9.2653762953622,475,6.507636444909232,450
trial_0050,0.2511886432,0.019999999999999796,5.633333333333333,6.548092978341239,450,10.925026076180595,475,6.548092978341239,450
trial_0051,0.2511886432,0.019999999999999796,6.9,6.6401824951171875,450,12.716381686074394,475,6.6401824951171875,450
trial_0052,0.2511886432,0.6733333333333333,3.1,5.990075145448957,250,7.17989901133946,475,5.990075145448957,250
trial_0053,0.2511886432,0.6733333333333333,4.366666666666667,5.800140108380999,300,8.021460601261683,475,5.800140108380999,300
trial_0054,0.2511886432,0.6733333333333333,5.633333333333333,5.899174690246582,125,9.891022886548724,475,5.899174690246582,125
trial_0055,0.2511886432,0.6733333333333333,6.9,5.810799258095877,50,11.509862491062709,475,5.810799258095877,50
trial_0056,0.2511886432,1.3266666666666667,3.1,6.389144352504185,125,9.346936770847865,475,6.389144352504185,125
trial_0057,0.2511886432,1.3266666666666667,4.366666666666667,6.3756910392216275,125,10.033955505916051,475,6.3756910392216275,125
trial_0058,0.2511886432,1.3266666666666667,5.633333333333333,6.376506669180734,300,10.695854391370501,475,6.376506669180734,300
trial_0059,0.2511886432,1.3266666666666667,6.9,6.167046887534005,425,12.445065430232457,475,6.167046887534005,425
trial_0060,0.2511886432,1.9800000000000002,3.1,6.695176873888288,250,11.398201056889125,475,6.695176873888288,250
trial_0061,0.2511886432,1.9800000000000002,4.366666666666667,5.947453907557896,50,10.156077861785889,475,5.947453907557896,50
trial_0062,0.2511886432,1.9800000000000002,5.633333333333333,6.366171394075666,100,10.80468852179391,475,6.366171394075666,100
trial_0063,0.2511886432,1.9800000000000002,6.9,6.671204498835972,350,13.263615471976143,475,6.671204498835972,350
